timestamp,open,high,low,close,volume
1704067200,42011.079955,42012.574272,42009.585638,42011.079955,6.644147
1704067260,42011.079955,42029.447914,41958.61338,41976.981338,6.002367
1704067320,41976.981338,42013.475772,41966.535863,42003.030297,9.302029
1704067380,42003.030297,42051.476186,41987.042258,42035.488147,8.755563
1704067440,42035.488147,42035.563526,41970.693179,41970.768557,3.785625
1704067500,41970.768557,41979.327133,41919.348518,41927.907093,11.368035
1704067560,41927.907093,41949.893103,41911.04802,41933.034029,7.717416
1704067620,41933.034029,41942.462776,41913.836272,41923.265019,4.667207
1704067680,41923.265019,41942.562758,41904.242259,41923.539998,11.566352
1704067740,41923.539998,41933.063141,41886.254425,41895.777568,9.877027
1704067800,41895.777568,41957.16344,41864.715029,41926.100902,4.206374
1704067860,41926.100902,41989.341337,41889.795463,41953.035898,13.331549
1704067920,41953.035898,41968.696796,41940.430323,41956.091221,9.976392
1704067980,41956.091221,42036.487104,41914.387998,41994.783881,7.969412
1704068040,41994.783881,42037.675608,41968.441673,42011.3334,12.770656
1704068100,42011.3334,42037.053509,41957.582855,41983.302964,8.477893
1704068160,41983.302964,41997.844473,41981.988305,41996.529814,7.915751
1704068220,41996.529814,42003.425123,41958.27036,41965.165669,6.0191
1704068280,41965.165669,42003.994644,41956.678411,41995.507386,9.745551
1704068340,41995.507386,42011.121894,41979.055465,41994.669973,9.429809
1704068400,41994.669973,42003.23265,41980.736946,41989.299623,8.04404
1704068460,41989.299623,41997.257823,41959.313585,41967.271785,5.630041
1704068520,41967.271785,42019.507352,41956.941851,42009.177418,8.38979
1704068580,42009.177418,42024.705796,41989.296125,42004.824502,7.790604
1704068640,42004.824502,42057.933889,41938.16393,41991.273317,3.999577
1704068700,41991.273317,42000.45285,41971.105818,41980.285352,3.584563
1704068760,41980.285352,42053.946317,41925.345358,41999.006324,9.69546
1704068820,41999.006324,42013.035955,41998.097351,42012.126983,0.194335
1704068880,42012.126983,42026.958447,42012.010157,42026.841621,8.616232
1704068940,42026.841621,42068.543657,42000.467754,42042.16979,6.565751
1704069000,42042.16979,42145.115843,42012.159381,42115.105435,11.92474
1704069060,42115.105435,42120.227807,42097.134356,42102.256728,6.519595
1704069120,42102.256728,42114.891601,42073.213839,42085.848712,9.978453
1704069180,42085.848712,42098.092034,42047.056831,42059.300153,6.809258
1704069240,42059.300153,42094.202141,42045.971012,42080.873,8.341244
1704069300,42080.873,42119.774262,42080.837806,42119.739067,10.21051
1704069360,42119.739067,42144.658776,42091.822309,42116.742019,6.612333
